cellCount,mutantCount,subColonyCount
5,0,0
25,0,0
47,0,0
64,0,0
78,0,0
95,0,0
110,0,0
126,0,0
143,0,0
156,0,0
181,0,0
192,0,0
206,0,0
220,0,0
234,0,0
245,0,0
250,0,0
262,0,0
267,0,0
276,0,0
287,0,0
295,0,0
303,0,0
314,0,0
324,0,0
333,0,0
345,0,0
353,0,0
362,0,0
371,0,0
378,0,0
390,0,0
401,0,0
407,0,0
416,0,0
420,0,0
426,0,0
437,0,0
440,0,0
444,0,0
448,0,0
456,0,0
466,0,0
474,0,0
483,0,0
494,0,0
500,0,0
505,0,0
516,0,0
523,0,0
531,0,0
541,0,0
551,0,0
562,0,0
568,0,0
576,0,0
584,0,0
594,0,0
598,0,0
607,0,0
611,0,0
615,0,0
621,0,0
627,0,0
633,1,0
638,1,0
649,1,0
653,1,0
660,1,0
671,2,0
681,3,1
685,3,1
687,3,1
695,3,1
700,3,1
704,4,1
711,4,1
718,4,1
723,4,1
728,4,1
731,4,1
736,4,1
738,4,1
740,4,1
746,4,1
753,4,1
758,4,1
767,4,1
773,4,1
780,4,1
788,4,1
