finalCellCounts,timeList,perimeterList,areaList,convexityList,solidityList,compactnessList,roundnessList,elongationList,holesList,meanLengthsList,stdDevLengthList,direction,directionType,concentrations,strength,diffusion,boundary_fluctuations
10000,195057,589.5533905932759,10035.75,0.6686263112868046,0.9157750655868598,0.3628385438302582,0.811608319314317,1.0165289256198347,9,0.8585478060549534,0.0748979847225447,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.08723798977100954
10000,199502,548.6833329081869,10032.5,0.7130925129383283,0.9274431181317094,0.41876993672088403,0.8235381891369262,1.0775862068965518,7,0.87753768739118,0.06290979838291859,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.07168899898754466
10000,201074,560.925973595306,10033.75,0.6904718723377371,0.9311632870864461,0.40073939590528235,0.8405625876513082,1.0707964601769913,9,0.8738435285228621,0.07149565469283808,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.08181745628269829
10000,197342,575.5533905932758,10035.25,0.6842217229269179,0.9188001419137759,0.38068593092147307,0.8131545761273175,1.0085470085470085,8,0.8829585772667687,0.06117984160904246,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.0692895943073875
10000,196374,580.5828278447987,10033.875,0.6694586398224479,0.9215112274417964,0.3740676727032509,0.8346466912388772,1.0964912280701755,8,0.8628901621635896,0.07080587156530149,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.08205664483155607
10000,201122,560.6833329081869,10035.375,0.6878156177417122,0.9310116893960478,0.4011512753101344,0.847938025682708,1.1388888888888888,13,0.8728565549223707,0.07457049514149071,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.08543270337028377
10000,196574,543.6122650963213,10035.25,0.7237617105368961,0.9319727891156463,0.4267362795725975,0.8146449302569264,1.084033613445378,14,0.7935873800990946,0.10348633065222995,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.13040319597737013
10000,196601,567.5533905932758,10038.75,0.6881743491331871,0.9205323063168391,0.39163009493342044,0.8269497044800943,1.0521739130434782,15,0.8818816286951324,0.07440567485448299,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.08437149888764167
10000,202286,589.2102448427682,10038.25,0.668262749148544,0.9186542663326356,0.3633517803629843,0.813640928071038,1.0689655172413792,13,0.8408729909306336,0.07429602954542502,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.08835582822466223
10000,194741,583.4528855298876,10038.625,0.667413122725331,0.9238884095484613,0.3705719229359747,0.8319228021825106,1.0081967213114753,13,0.7913243997558038,0.10666151209273197,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.1347886051859981
10000,195042,575.0681092190373,10037.5,0.6861373093801165,0.9103173073652946,0.38141419667531457,0.8101674370309336,1.103448275862069,14,0.8546373717354426,0.06755742260788647,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.07904805575106445
10000,199965,537.5706345359786,10033.75,0.7232104403028318,0.9320174165457185,0.4363169315396903,0.8342048151965568,1.0338983050847457,15,0.8906220697114782,0.061702384923216426,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.06928009873279387
