finalCellCounts,timeList,perimeterList,areaList,convexityList,solidityList,compactnessList,roundnessList,elongationList,holesList,meanLengthsList,stdDevLengthList,direction,directionType,concentrations,strength,diffusion,boundary_fluctuations
14207,320000,698.0630585851546,14252.75,0.6679542259760147,0.9324664703958129,0.3675523636028837,0.8238076416517962,1.176923076923077,13,0.8418938931867277,0.06634536980378655,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.078804906818669
14348,320000,699.435641587185,14396.75,0.6713215912944139,0.9338306239104877,0.36981013469901874,0.8205736712738284,1.1417910447761195,23,0.8479957808734729,0.0594775753208805,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.07013899911107574
14671,320000,690.5067093990505,14718.375,0.6824019169602566,0.9315206126436872,0.38791263202069615,0.8330161971963768,1.196969696969697,19,0.8126562112182601,0.08801375717632608,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.10830380173232648
14268,320000,686.8498551495582,14318.875,0.674887305344781,0.9399364902232689,0.38141269129638466,0.8373993541703479,1.1654135338345866,26,0.7910557513187557,0.08390007538141232,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.1060608879229358
14648,320000,740.5483399593934,14698.875,0.6571040531356627,0.9159033554537808,0.3368116734654357,0.7800435375208902,1.255639097744361,21,0.6972359135685318,0.09547374123032124,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.13693176064565565
14404,320000,723.2346314604084,14457.0,0.653477163802099,0.9335830292854606,0.3473198601552696,0.8133337358440612,1.1654135338345866,28,0.8271053446468621,0.062053071031507104,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.07502438647401204
14267,320000,659.6366517139616,14312.625,0.7045688715845778,0.9305544267997334,0.4133515776355372,0.8326695744899542,1.1029411764705883,20,0.8479151162747752,0.0708353937645645,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.08354066628246028
14346,320000,675.293505963454,14388.5,0.6847017940493977,0.946043904563872,0.3964973039052798,0.8457408481702436,1.1908396946564885,13,0.8593363860209438,0.07231612386435408,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.0841534526417593
14652,320000,719.1341263970202,14700.375,0.6584131610990878,0.9296459372505,0.35720578220029797,0.8239891126699153,1.1481481481481481,17,0.8229901978759935,0.07807891231838204,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.0948722263277148
14311,320000,714.8914857099008,14360.375,0.6586453550355974,0.9206622697001996,0.35309811219409337,0.8139395071534248,1.1654135338345866,19,0.8448670666995753,0.07083815508960632,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.08384532653915781
14457,320000,696.6488450227815,14506.125,0.6701510520728076,0.9352831663698128,0.3756067917787105,0.8363499382734926,1.2093023255813953,20,0.809848163541944,0.07098114608693679,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.08764747428270299
14333,320000,681.4356415871849,14384.75,0.684044106161311,0.9357304320957539,0.3892803593057014,0.8319443599530315,1.183206106870229,29,0.7968805240744957,0.07560108995905432,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.0948712983628984
14413,320000,720.2640687119313,14457.125,0.6578566663934313,0.9291584655553324,0.3501936768328524,0.8091811181452067,1.2093023255813953,13,0.8292348749045364,0.07480184286658964,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.0902058573877528
14410,320000,671.8792924010806,14459.5,0.6950064792322218,0.937346039154674,0.4025136635331013,0.8333029525616172,1.2248062015503876,27,0.8394183139401548,0.07896452790937122,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.0940705326510197
14427,320000,718.891485709901,14477.0,0.664001796210156,0.9190214329357805,0.35201547695736507,0.7984050035967016,1.2213740458015268,21,0.8177882412247353,0.07322480549505589,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.08954005670880401
14390,320000,746.6904755831243,14437.75,0.6326244816156064,0.9167334693197241,0.32540794931630246,0.8130854117942268,1.196969696969697,13,0.8106236103496544,0.06634958500987571,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.08185005243217193
14788,320000,723.9209229614237,14835.5,0.659723822492876,0.9283792240300376,0.3557376191312747,0.817345095192389,1.1893939393939394,19,0.844424915708416,0.0750080812299865,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.08882741358603771
14458,320000,712.8914857099008,14505.0,0.6631576626043707,0.931494533369724,0.3586581809649939,0.8155435498359603,1.1578947368421053,15,0.8498422527563257,0.06290453469954745,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.07401907176952754
14540,320000,704.9919907732892,14593.125,0.6749445743970414,0.9256440141766371,0.3689689329867249,0.8099413640779481,1.1492537313432836,29,0.8608207889221847,0.06852080081389648,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.07959937968004921
14538,320000,729.033621333632,14590.25,0.6548451241813581,0.9159192385257029,0.3449669450033548,0.8044522787161328,1.2148148148148148,23,0.8023091507027956,0.06487149374948478,"(-1, -1)",diagonal,low,extraStrong,with_diffusion,0.08085598137907259
