finalCellCounts,timeList,perimeterList,areaList,convexityList,solidityList,compactnessList,roundnessList,elongationList,holesList,meanLengthsList,stdDevLengthList,direction,directionType,concentrations,strength,diffusion,boundary_fluctuations
14715,320000,694.0214280248119,14765.25,0.6761242719315543,0.9371489321189426,0.38521652531989775,0.8426589851719329,1.1278195488721805,26,0.8735361966179699,0.05844374951492235,"(-1, -1)",diagonal,low,strong,with_diffusion,0.06690478281403374
14324,320000,744.7909806465126,14371.0,0.6246089362736554,0.9305608391948004,0.3255577482131703,0.8344717699752268,1.0422535211267605,13,0.861903385079779,0.059962577239360486,"(-1, -1)",diagonal,low,strong,with_diffusion,0.06956995212846305
14679,320000,710.991990773289,14726.125,0.6619164798443808,0.9390763000988426,0.36607403787613896,0.835530949958127,1.1729323308270676,17,0.8480243213718716,0.07190026963559129,"(-1, -1)",diagonal,low,strong,with_diffusion,0.08478562209073946
14800,320000,693.3351365237968,14851.75,0.6869921563879821,0.9331259964344336,0.3882407119168342,0.8226166915780911,1.183206106870229,26,0.8255366306752963,0.06912335228838881,"(-1, -1)",diagonal,low,strong,with_diffusion,0.08373141750456949
14831,320000,678.849855149558,14881.875,0.6972753020434522,0.9355183441902861,0.405807488593888,0.834663634464395,1.108695652173913,27,0.8565020090714403,0.06744249427745794,"(-1, -1)",diagonal,low,strong,with_diffusion,0.07874178176251377
14668,320000,670.4650788387078,14713.75,0.7092781755941975,0.9332064851151544,0.41132102711836854,0.8176128678180605,1.2348484848484849,20,0.8317060472404475,0.06919996503789948,"(-1, -1)",diagonal,low,strong,with_diffusion,0.08320243103618274
14705,320000,686.0214280248119,14755.625,0.6899860827298269,0.937482627445063,0.39399627073055726,0.8275827872021293,1.1515151515151516,27,0.8581024509427901,0.06488613970694142,"(-1, -1)",diagonal,low,strong,with_diffusion,0.07561584241561313
15126,320000,765.7615433949899,15176.5,0.6298736841031832,0.9183963691376702,0.3252328356892869,0.819761386285507,1.0689655172413792,17,0.8451875088440327,0.061953625755912775,"(-1, -1)",diagonal,low,strong,with_diffusion,0.07330163438009994
14714,320000,715.6194077712588,14762.875,0.6634245049788917,0.9378762130139924,0.36225683305840173,0.8230639269831421,1.1094890510948905,16,0.8686428847178865,0.06153742441196866,"(-1, -1)",diagonal,low,strong,with_diffusion,0.07084318020051988
14715,320000,712.2640687119311,14758.0,0.6731876483428472,0.9257961059226674,0.36555716246748726,0.8066460652787243,1.164179104477612,11,0.832810325419807,0.06668728361145637,"(-1, -1)",diagonal,low,strong,with_diffusion,0.08007499616174947
15017,320000,733.9625535217664,15068.625,0.655873880815949,0.9232801801387804,0.3515083800908508,0.8171372542909044,1.1167883211678833,23,0.8699399324534579,0.06088757021226683,"(-1, -1)",diagonal,low,strong,with_diffusion,0.06999054525586379
14728,320000,701.2346314604084,14775.875,0.6818431562060705,0.925067693415348,0.37760380339799793,0.8122082350805557,1.056338028169014,17,0.8547392440081666,0.0704326144655077,"(-1, -1)",diagonal,low,strong,with_diffusion,0.0824024577779124
14950,320000,714.5067093990506,14995.375,0.6761344445747266,0.9143939509428785,0.3691089470138884,0.8073994524357745,1.1,15,0.801938130532042,0.07756246340247515,"(-1, -1)",diagonal,low,strong,with_diffusion,0.09671876227037203
14639,320000,660.7077195258271,14682.625,0.7150155683703352,0.9451167506155357,0.4226635621345923,0.8267302198245898,1.2421875,15,0.8237807887648864,0.06982210907168775,"(-1, -1)",diagonal,low,strong,with_diffusion,0.0847581177225238
14689,320000,695.9209229614237,14736.0,0.6740745702948866,0.9328796391548627,0.382357566806833,0.8414993835729919,1.094890510948905,18,0.8735251511665632,0.06063588504936358,"(-1, -1)",diagonal,low,strong,with_diffusion,0.06941515647075121
14718,320000,697.0508652763345,14763.625,0.6855875481617753,0.915438811337865,0.3818334119356894,0.8123591673786447,1.0482758620689656,20,0.8415810982244668,0.06984684917255009,"(-1, -1)",diagonal,low,strong,with_diffusion,0.08299479315767679
14636,320000,723.3351365237968,14684.375,0.6545316533774859,0.9266489974284948,0.3526843649770702,0.8232370336777176,1.0,20,0.88848470919574,0.059273898433499006,"(-1, -1)",diagonal,low,strong,with_diffusion,0.06671347049647482
14701,320000,750.9331162702437,14755.625,0.6322260146309487,0.929737094970307,0.32882509868808946,0.8226597229598318,1.1333333333333333,26,0.8531086081231809,0.06250291403144753,"(-1, -1)",diagonal,low,strong,with_diffusion,0.07326489668056742
14584,320000,710.6072144624388,14630.0,0.6706597899240042,0.9266311447504889,0.36407844316681554,0.8094507471943567,1.2164179104477613,18,0.8093264155752844,0.07378311780651324,"(-1, -1)",diagonal,low,strong,with_diffusion,0.09116608130733854
15027,320000,694.0214280248119,15075.0,0.698479084044368,0.9312597488841872,0.393297717221006,0.8061476907994455,1.145985401459854,21,0.8016190235230222,0.09343028145543994,"(-1, -1)",diagonal,low,strong,with_diffusion,0.11655197633013341
14863,320000,684.7077195258271,14905.125,0.690246804954237,0.9320654722821499,0.39951679233898685,0.8385447187848595,1.164179104477612,12,0.82504716298328,0.06606016472785231,"(-1, -1)",diagonal,low,strong,with_diffusion,0.08006834965529244
14905,320000,722.8914857099008,14956.125,0.6623654245792739,0.9280439942292478,0.35965220811529947,0.8197613201088,1.158273381294964,23,0.8147680942924832,0.06274636158596025,"(-1, -1)",diagonal,low,strong,with_diffusion,0.07701131404813667
15154,320000,721.4772721475279,15202.0,0.6711442122568186,0.9334970832054037,0.3669993398620485,0.8147672883697512,1.0942028985507246,17,0.8424924621061342,0.06021667010098636,"(-1, -1)",diagonal,low,strong,with_diffusion,0.0714744318904072
14834,320000,719.6194077712588,14884.125,0.6652953577735017,0.9270277003565701,0.3611831136633113,0.816015581371496,1.1151079136690647,19,0.8741090724833213,0.057878485940203894,"(-1, -1)",diagonal,low,strong,with_diffusion,0.06621426062513298
14831,320000,732.8914857099008,14881.5,0.6474016813647139,0.9253944811504081,0.3481586743046375,0.8306720045829528,1.097902097902098,21,0.8088895196002184,0.06264335985476889,"(-1, -1)",diagonal,low,strong,with_diffusion,0.07744365372137525
14802,320000,669.7787873376926,14853.0,0.7056941115876803,0.9324136632218273,0.41606508009078874,0.8354650372975582,1.0875912408759123,27,0.862130038838665,0.05575784249473066,"(-1, -1)",diagonal,low,strong,with_diffusion,0.06467451542442418
15003,320000,733.8620484583781,15052.5,0.6578907887776685,0.9173389400553055,0.3512284137164288,0.8114878665926296,1.1176470588235294,17,0.8479331194281436,0.06880883150787302,"(-1, -1)",diagonal,low,strong,with_diffusion,0.08114889008496157
14934,320000,699.1930009000656,14978.875,0.6840374107921815,0.9394678248871049,0.3850303074332253,0.8228775372867216,1.171641791044776,16,0.8092202161770288,0.0722694932521001,"(-1, -1)",diagonal,low,strong,with_diffusion,0.08930757265744098
14791,320000,737.033621333632,14843.375,0.6486449817416282,0.9228228601625763,0.3433744085796173,0.816119583766629,1.1804511278195489,23,0.8021190293997051,0.07665067117344339,"(-1, -1)",diagonal,low,strong,with_diffusion,0.09556022032142499
14668,320000,713.6782822743043,14714.625,0.6561418241387846,0.9343212267445552,0.36303968399983294,0.8432544800340325,1.0802919708029197,18,0.8246617658805913,0.08877301931492342,"(-1, -1)",diagonal,low,strong,with_diffusion,0.10764779329878318
14729,320000,716.6488450227815,14780.75,0.6690687869594634,0.9266419553786235,0.36165420986601476,0.8078895398677673,1.1818181818181819,24,0.8625740990106328,0.07006425859622867,"(-1, -1)",diagonal,low,strong,with_diffusion,0.08122694464926775
14769,320000,664.0386719675146,14809.625,0.711580259726096,0.9376518539036841,0.42205318410192044,0.8335264733048732,1.1555555555555554,16,0.8124347334110568,0.08546621727232145,"(-1, -1)",diagonal,low,strong,with_diffusion,0.10519764081661838
14945,320000,702.8498551495582,14990.375,0.6758229920101206,0.9344964894918529,0.38132672365073617,0.8348939549862031,1.1323529411764706,16,0.8451720932956996,0.06562709647526728,"(-1, -1)",diagonal,low,strong,with_diffusion,0.07764938880004689
14668,320000,697.8792924010809,14710.375,0.6779146512238737,0.9372501234449914,0.37955348544320605,0.8258913998904778,1.1544117647058822,13,0.8514310604776226,0.07471778899452418,"(-1, -1)",diagonal,low,strong,with_diffusion,0.08775553590047579
14957,320000,766.0041840821092,15005.375,0.630995558295477,0.925136986829227,0.32136193497361537,0.8071269141176665,1.1079136690647482,12,0.7988560771128635,0.07200127502490486,"(-1, -1)",diagonal,low,strong,with_diffusion,0.09013047166784263
