finalCellCounts,timeList,perimeterList,areaList,convexityList,solidityList,compactnessList,roundnessList,elongationList,holesList,meanLengthsList,stdDevLengthList,direction,directionType,concentrations,strength,diffusion,boundary_fluctuations
14860,320000,754.6904755831245,14912.875,0.6431050258273786,0.9237624758999295,0.3290284892826647,0.7955540596764004,1.0888888888888888,23,0.8480213189612885,0.05468406409131117,"(-1, -1)",diagonal,low,weak,with_diffusion,0.06448430348224235
14755,320000,686.1635636485429,14803.375,0.6864283051355732,0.9323125369021846,0.3951075236720988,0.8385422174993785,1.0802919708029197,20,0.8947389600574981,0.05429172636604211,"(-1, -1)",diagonal,low,weak,with_diffusion,0.060678844657164804
14518,320000,688.1219330882002,14564.25,0.6822985793388696,0.931232916127176,0.38651574307378606,0.8302679120065977,1.0070422535211268,20,0.870768436620515,0.05731682338123877,"(-1, -1)",diagonal,low,weak,with_diffusion,0.06582326709462222
14708,320000,720.0630585851546,14754.5,0.6580403112150007,0.9338069507843959,0.35759653256636786,0.8258255225484633,1.0714285714285714,14,0.8565912022146465,0.077966255754058,"(-1, -1)",diagonal,low,weak,with_diffusion,0.0910192114423807
15143,320000,754.6904755831245,15193.875,0.634378552325062,0.9281678095267185,0.3352283002170706,0.8329974883582903,1.0344827586206897,19,0.895789759887238,0.056412203005106305,"(-1, -1)",diagonal,low,weak,with_diffusion,0.06297482459746746
14543,320000,696.4062043356623,14588.75,0.6721266366365001,0.9353711510410823,0.3780094724355636,0.8367591476034564,1.0583941605839415,14,0.8372125591409786,0.062072161452873385,"(-1, -1)",diagonal,low,weak,with_diffusion,0.07414145998545756
14852,320000,758.5899705197361,14906.375,0.6304229662985132,0.9252942682671342,0.3255125322601249,0.81903726387642,1.1666666666666667,24,0.8206904615449541,0.07351665756894575,"(-1, -1)",diagonal,low,weak,with_diffusion,0.08957903255089655
14889,320000,700.4062043356622,14938.25,0.6753253884860979,0.9339835720928779,0.38265696123955883,0.8390415426861524,1.042857142857143,20,0.8364859919071514,0.07456432271116263,"(-1, -1)",diagonal,low,weak,with_diffusion,0.08913995384568155
14788,320000,694.6488450227815,14838.75,0.6790314083464721,0.9320164247187306,0.38643508174487123,0.8381018906090469,1.0425531914893618,23,0.8359000764719707,0.0630556508843686,"(-1, -1)",diagonal,low,weak,with_diffusion,0.07543443607578491
14706,320000,711.7199128346472,14757.375,0.657747557591136,0.926752492346338,0.3661008553205832,0.8462179928020042,1.0567375886524824,23,0.8766370375149669,0.05309394698765561,"(-1, -1)",diagonal,low,weak,with_diffusion,0.06056548459116312
