finalCellCounts,timeList,perimeterList,areaList,convexityList,solidityList,compactnessList,roundnessList,elongationList,holesList,meanLengthsList,stdDevLengthList,direction,directionType,concentrations,strength,diffusion,boundary_fluctuations
17954,320000,723.577777210916,18000.5,0.7181391211902255,0.9427739042194507,0.4320400347480153,0.8377353089767047,1.0258064516129033,16,0.8356138077783769,0.05979468964506689,"(-1, -1)",diagonal,rich,strong,with_diffusion,0.07155780468018037
17763,320000,687.3351365237967,17809.125,0.7544477412427542,0.9479746094269822,0.4737130566159761,0.832256181994121,1.0933333333333333,16,0.8785709176452057,0.05950861207377826,"(-1, -1)",diagonal,rich,strong,with_diffusion,0.06773341898600119
17914,320000,726.6488450227816,17961.625,0.7171312535260485,0.948731661582749,0.42747066208664325,0.8312066589265138,1.0188679245283019,17,0.8839138936478872,0.055258502448375955,"(-1, -1)",diagonal,rich,strong,with_diffusion,0.06251570752024918
17895,320000,728.163563648543,17943.0,0.7077328000447708,0.9500373941876857,0.42525265517717586,0.8490013617339908,1.0855263157894737,19,0.8439897698001658,0.08165179900719317,"(-1, -1)",diagonal,rich,strong,with_diffusion,0.09674501034121082
17675,320000,731.5777772109161,17718.5,0.7068320187032696,0.945175701807028,0.4160215307382307,0.8326900572141123,1.0584415584415585,10,0.8548372886374601,0.06385204809831224,"(-1, -1)",diagonal,rich,strong,with_diffusion,0.07469497288786632
18168,320000,721.719912834647,18215.75,0.726562570490173,0.9496210664876806,0.4394601961758511,0.8324794146205475,1.1437908496732025,16,0.8311908835360541,0.07686533235400105,"(-1, -1)",diagonal,rich,strong,with_diffusion,0.09247614943393072
18063,320000,752.3056992722741,18107.125,0.6965672728512986,0.9361255258787264,0.4020412918891714,0.8285992349368605,1.0714285714285714,9,0.8519635861020083,0.061206221528326187,"(-1, -1)",diagonal,rich,strong,with_diffusion,0.07184135862937899
17779,320000,713.1930009000657,17820.875,0.719502612921307,0.9448343506239604,0.4402757271824396,0.8504719455830582,1.0728476821192052,10,0.9038940387822945,0.05037736200482978,"(-1, -1)",diagonal,rich,strong,with_diffusion,0.05573370311491048
17867,320000,716.6072144624387,17911.0,0.7155957567339792,0.9505449672621614,0.4382958369828062,0.8559173547862352,1.1,14,0.8887670939616156,0.053403759768929526,"(-1, -1)",diagonal,rich,strong,with_diffusion,0.0600874628817389
17534,320000,713.577777210916,17580.125,0.7151509153419201,0.9419711329158434,0.4338595783503273,0.8483084483028057,1.08,15,0.886034399169091,0.05399665568466112,"(-1, -1)",diagonal,rich,strong,with_diffusion,0.06094194055591783
18227,320000,701.435641587185,18268.25,0.7471436134426598,0.9476339303082569,0.466585406394573,0.8358396596933665,1.1543624161073827,8,0.8322966899342903,0.06503523087451654,"(-1, -1)",diagonal,rich,strong,with_diffusion,0.07813948038127012
17787,320000,712.8498551495582,17831.875,0.7295106052640956,0.9424071664035197,0.44097172525389994,0.8286049513097434,1.131578947368421,15,0.8743727794376777,0.05749653307859919,"(-1, -1)",diagonal,rich,strong,with_diffusion,0.06575746001102194
17864,320000,713.1341263970202,17909.875,0.7327631954276114,0.9398302416498308,0.442547589282949,0.8242001393641444,1.0454545454545454,12,0.848499878542793,0.06434722789382973,"(-1, -1)",diagonal,rich,strong,with_diffusion,0.07583646093661103
17799,320000,720.891485709901,17844.125,0.7155453065974753,0.942867710679445,0.4314846282610726,0.8427350435244505,1.099337748344371,11,0.8648697656420224,0.05193185913263555,"(-1, -1)",diagonal,rich,strong,with_diffusion,0.06004587187076051
