finalCellCounts,timeList,perimeterList,areaList,convexityList,solidityList,compactnessList,roundnessList,elongationList,holesList,meanLengthsList,stdDevLengthList,direction,directionType,concentrations,strength,diffusion,boundary_fluctuations
17963,320000,735.1757569573631,18013.0,0.7071399523261124,0.9463840071452965,0.4188066396661696,0.837534698182379,1.0193548387096774,16,0.8615368528702175,0.060117677401090336,"(-1, -1)",diagonal,rich,weak,with_diffusion,0.06977957727612902
17878,320000,768.1046891454976,17928.875,0.678033983223901,0.936777893162477,0.3818757412022235,0.83065206262615,1.044871794871795,19,0.8586152602585692,0.053881473164256295,"(-1, -1)",diagonal,rich,weak,with_diffusion,0.06275391978012372
18318,320000,745.033621333632,18365.75,0.7089818235734516,0.9396648759273472,0.4157830578102239,0.8271734504555087,1.1103896103896105,14,0.8808985107819148,0.05626841722351801,"(-1, -1)",diagonal,rich,weak,with_diffusion,0.06387616341134723
18043,320000,788.2884553295713,18097.25,0.6676690454891856,0.9259688013661395,0.3659755881328455,0.8209744351448284,1.0127388535031847,19,0.8854458134910002,0.056174651361749366,"(-1, -1)",diagonal,rich,weak,with_diffusion,0.06344222368647558
18306,320000,759.317892581094,18357.75,0.6902442251580262,0.9415256790804126,0.40011243398172264,0.8398011869227723,1.0,17,0.8855476430581363,0.04973819801508798,"(-1, -1)",diagonal,rich,weak,with_diffusion,0.056166597477830635
18119,320000,755.7615433949899,18166.375,0.6876125732263766,0.9397899665032785,0.3996764510783592,0.845319605690752,1.0657894736842106,11,0.8884814843527128,0.05694563690690858,"(-1, -1)",diagonal,rich,weak,with_diffusion,0.06409321737120419
18385,320000,738.9919907732891,18430.125,0.7089009844043882,0.9493947198969735,0.42409063453480456,0.8438932689885451,1.12,13,0.8135852723825091,0.08092437373204721,"(-1, -1)",diagonal,rich,weak,with_diffusion,0.09946637000331592
17896,320000,753.5189027078706,17950.0,0.68812714426069,0.9458631660068898,0.397270222870513,0.8389742562281353,1.0921052631578947,25,0.8567163090271742,0.08176513398861468,"(-1, -1)",diagonal,rich,weak,with_diffusion,0.09544015110610106
17925,320000,752.7909806465126,17974.0,0.688014385858315,0.9470217866645592,0.39857108347307424,0.8419973972628462,1.0129032258064516,17,0.8489556357061333,0.060915821848980194,"(-1, -1)",diagonal,rich,weak,with_diffusion,0.07175383410737644
18166,320000,750.5899705197361,18220.125,0.691191066082379,0.9441029593693933,0.4064018742189574,0.8506667737009879,1.0584415584415585,24,0.8609980297354329,0.06084340086508673,"(-1, -1)",diagonal,rich,weak,with_diffusion,0.07066613251575345
17903,320000,746.1046891454974,17954.875,0.6945053052940396,0.9405936703970245,0.40531503222264514,0.840313954765579,1.064516129032258,21,0.8500688914195254,0.06586011491709128,"(-1, -1)",diagonal,rich,weak,with_diffusion,0.07747620878951568
17865,320000,709.2346314604084,17909.5,0.722692348189107,0.9495771586119138,0.4474180058533049,0.8566561654389022,1.032258064516129,11,0.8512458489078872,0.07808615618905528,"(-1, -1)",diagonal,rich,weak,with_diffusion,0.09173161465543303
17768,320000,723.5777772109161,17816.625,0.7146468747252752,0.9453169560545969,0.42762674837323156,0.8373014922602017,1.0533333333333332,20,0.8543451626380336,0.05202886287491062,"(-1, -1)",diagonal,rich,weak,with_diffusion,0.060899113321197615
