finalCellCounts,timeList,perimeterList,areaList,convexityList,solidityList,compactnessList,roundnessList,elongationList,holesList,meanLengthsList,stdDevLengthList,direction,directionType,concentrations,strength,diffusion,boundary_fluctuations
13948,320000,636.4234482783648,13989.125,0.7189990873474813,0.9414580388989838,0.4340183286114094,0.8395593293180855,1.0661764705882353,15,0.85916958207914,0.05612069274930627,"(-1, -1)",diagonal,low,weak,with_diffusion,0.06531969231673389
13982,320000,703.8204178980353,14032.25,0.6620027103230326,0.9257628236846446,0.35597004569839485,0.8122578539155338,1.0208333333333333,21,0.8486653101679488,0.059668201325002626,"(-1, -1)",diagonal,low,weak,with_diffusion,0.07030828361912711
14200,320000,701.7787873376926,14246.25,0.662950692045213,0.9231928198814114,0.3635046342624659,0.8270799548673359,1.0503597122302157,19,0.8168161528629819,0.0860109263347274,"(-1, -1)",diagonal,low,weak,with_diffusion,0.10530022702569575
14345,320000,665.9797974644691,14389.25,0.7100839826945293,0.9298985394855888,0.4076861071401046,0.8085492512432955,1.027972027972028,18,0.8811057147484207,0.060030873086742244,"(-1, -1)",diagonal,low,weak,with_diffusion,0.06813129466976918
14309,320000,696.9919907732891,14358.125,0.6663151252113719,0.9291931595722306,0.3714086539768737,0.836551486418911,1.0214285714285714,21,0.8896968319949417,0.05870673675872578,"(-1, -1)",diagonal,low,weak,with_diffusion,0.06598510261870816
14082,320000,652.5655839020959,14124.375,0.6994182912225163,0.9393548923435032,0.41680293887294323,0.852033755668475,1.1044776119402986,15,0.8720494348916267,0.05650188550978494,"(-1, -1)",diagonal,low,weak,with_diffusion,0.06479206711120301
14659,320000,699.0924958366774,14706.5,0.672692344404112,0.9341018800813008,0.3781376410133433,0.8356356124900676,1.028169014084507,19,0.8518540020964669,0.07090994362056519,"(-1, -1)",diagonal,low,weak,with_diffusion,0.08324189760927495
14425,320000,670.8082245892152,14470.25,0.6980745805054119,0.9278180302641703,0.40410027033801443,0.8292500243609642,1.0,20,0.8989818902930748,0.0581460505130967,"(-1, -1)",diagonal,low,weak,with_diffusion,0.06467989081975907
14112,320000,688.4650788387078,14159.5,0.6847780044997746,0.9217374322586945,0.37539972415842404,0.8005608446806408,1.0503597122302157,23,0.8327225457440365,0.06299837862288034,"(-1, -1)",diagonal,low,weak,with_diffusion,0.0756535042132087
14195,320000,672.9087296526035,14238.75,0.6907598391492827,0.9335201848846929,0.3951567491939419,0.8281618959965729,1.0514705882352942,18,0.8509614341884721,0.07308318168694186,"(-1, -1)",diagonal,low,weak,with_diffusion,0.08588307148917784
14301,320000,718.0214280248119,14348.5,0.6492475666063258,0.9247029443750755,0.3497369801746691,0.8296996266337873,1.0070921985815602,20,0.8614594720138705,0.06521725158438056,"(-1, -1)",diagonal,low,weak,with_diffusion,0.07570553659584173
14279,320000,668.565583902096,14322.0,0.7085144598341095,0.9259040769324013,0.40264795764116207,0.8020991654309153,1.0352112676056338,16,0.8911111297603009,0.06609288243566008,"(-1, -1)",diagonal,low,weak,with_diffusion,0.07416906851274356
14178,320000,693.9209229614237,14222.0,0.672930367177689,0.9268165526230042,0.37115094736943605,0.8196157952440484,1.0142857142857142,12,0.8591757718591297,0.054604797838665536,"(-1, -1)",diagonal,low,weak,with_diffusion,0.06355486226119808
14382,320000,714.9503602129464,14424.0,0.6509359170240719,0.9410997112890861,0.35460413791462203,0.8368879759415396,1.0514705882352942,11,0.8823638334188747,0.05001144058389087,"(-1, -1)",diagonal,low,weak,with_diffusion,0.056678932986308724
14331,320000,663.3523804664994,14373.375,0.6966614547022101,0.9382251668597725,0.4104686911430282,0.8457392220721961,1.0283687943262412,18,0.9091818857429738,0.05548573369620877,"(-1, -1)",diagonal,low,weak,with_diffusion,0.06102819971040934
14076,320000,664.7665940288725,14117.125,0.70384011150916,0.9221228822208614,0.4014373250154415,0.8103445641280099,1.049645390070922,16,0.867688689044925,0.06801267308280963,"(-1, -1)",diagonal,low,weak,with_diffusion,0.0783837267230854
14333,320000,682.5067093990505,14379.0,0.6809595348346941,0.9335952083367149,0.3879043926312438,0.8365310913680087,1.036231884057971,16,0.8793480768005643,0.062275167570281134,"(-1, -1)",diagonal,low,weak,with_diffusion,0.07081970065467615
14337,320000,704.9087296526035,14380.375,0.6634736723611836,0.9228763727668723,0.3636757117931869,0.82616522249435,1.0441176470588236,18,0.867947066145311,0.06420572378511459,"(-1, -1)",diagonal,low,weak,with_diffusion,0.07397423908610265
14148,320000,707.6782822743044,14194.5,0.6525995367295865,0.9231969951952391,0.35617073082548445,0.8363050227388021,1.0,17,0.8443902210699916,0.07322108687471802,"(-1, -1)",diagonal,low,weak,with_diffusion,0.08671474994337804
14241,320000,694.3645737753195,14287.25,0.6708731072396743,0.9209040003222817,0.3723774707248826,0.8273754527871102,1.036231884057971,19,0.8555717504836272,0.056963824021421174,"(-1, -1)",diagonal,low,weak,with_diffusion,0.06657983271329536
14411,320000,668.0803025278573,14451.625,0.6981440761516525,0.9254815004562847,0.4068826890338485,0.83479357603065,1.0422535211267605,13,0.8826853423401059,0.05560238506164981,"(-1, -1)",diagonal,low,weak,with_diffusion,0.06299230585866662
14450,320000,681.9381669041262,14493.375,0.6836010763741979,0.9353053635241637,0.391642124329254,0.8380769994189968,1.0214285714285714,21,0.8624898572763928,0.0735089759920715,"(-1, -1)",diagonal,low,weak,with_diffusion,0.08522880051505913
14170,320000,668.3229432149767,14216.125,0.6948980434060013,0.9299942759015455,0.3999616547455678,0.8282781003694457,1.0,22,0.8769563457834225,0.06958495141232447,"(-1, -1)",diagonal,low,weak,with_diffusion,0.07934825005475189
