finalCellCounts,timeList,perimeterList,areaList,convexityList,solidityList,compactnessList,roundnessList,elongationList,holesList,meanLengthsList,stdDevLengthList,direction,directionType,concentrations,strength,diffusion,boundary_fluctuations
17539,320000,739.4772721475279,17582.375,0.7001297181167775,0.9361165462071903,0.40405244729419426,0.8242913014338785,1.026143790849673,8,0.8992534961706529,0.05245760092697211,"(-1, -1)",diagonal,rich,no,with_diffusion,0.05833460881759768
17416,320000,741.2346314604085,17460.5,0.697600100177401,0.9334482735577341,0.3993513309601115,0.8206199438871041,1.0402684563758389,11,0.8430658282794373,0.05549867668930597,"(-1, -1)",diagonal,rich,no,with_diffusion,0.06582958866043699
17514,320000,706.2224381515884,17556.375,0.7321258780090125,0.9381286987188907,0.44234557682053993,0.8252588174261117,1.0512820512820513,14,0.8759063756821917,0.05872754694480888,"(-1, -1)",diagonal,rich,no,with_diffusion,0.06704774457095311
17354,320000,712.0630585851546,17401.625,0.716389909942588,0.9419585766386316,0.4312834160171538,0.8403570309087472,1.0193548387096774,16,0.9257104423264199,0.049992425569519015,"(-1, -1)",diagonal,rich,no,with_diffusion,0.054004387639705276
17358,320000,695.6366517139616,17400.5,0.7283983320925411,0.9396152548093148,0.45186289429310944,0.8516649893517452,1.0326797385620916,14,0.8935787316330722,0.05254983031212389,"(-1, -1)",diagonal,rich,no,with_diffusion,0.05880828230556217
17367,320000,721.9209229614238,17411.0,0.7120906784971927,0.9385098440847899,0.41981149096937687,0.827911128567238,1.0389610389610389,12,0.8951220213233524,0.05019105478660155,"(-1, -1)",diagonal,rich,no,with_diffusion,0.05607174618763023
17480,320000,700.8498551495582,17522.375,0.7290583820862389,0.9361743334936155,0.44828360802736966,0.8433896047110122,1.0466666666666666,10,0.876469997436789,0.05562317435525598,"(-1, -1)",diagonal,rich,no,with_diffusion,0.06346272492831967
17595,320000,759.1341263970202,17647.375,0.6814711338353157,0.9394022064596835,0.384815846559641,0.8286249749518786,1.0463576158940397,25,0.8686088773218991,0.05691535046836895,"(-1, -1)",diagonal,rich,no,with_diffusion,0.06552471653737958
17576,320000,726.163563648543,17619.875,0.7131618489974099,0.9369532849432347,0.41989797442911314,0.8255959903081499,1.025974025974026,11,0.8692000699813047,0.05641051438530429,"(-1, -1)",diagonal,rich,no,with_diffusion,0.06489934404459678
17539,320000,712.9919907732892,17584.625,0.7230502034342757,0.9368473628129995,0.43468401777287746,0.8314512054439349,1.0402684563758389,14,0.8937391482285401,0.050353173795442664,"(-1, -1)",diagonal,rich,no,with_diffusion,0.05633989950562929
17221,320000,703.0508652763347,17264.125,0.7304293747989241,0.93724891422367,0.4389155240201771,0.8226677659097791,1.033112582781457,15,0.9073204712432086,0.05561270763583823,"(-1, -1)",diagonal,rich,no,with_diffusion,0.06129334606507645
17485,320000,724.5067093990506,17524.875,0.7072623330547988,0.9362953959582738,0.4195463717258558,0.8387236920133923,1.0064516129032257,4,0.8979655049515279,0.055294414637714395,"(-1, -1)",diagonal,rich,no,with_diffusion,0.06157743736570279
17315,320000,705.2935059634539,17357.5,0.7230644412256316,0.9445937213019965,0.43848755089234387,0.8386934649977038,1.0,13,0.8994872721768297,0.055211350083055756,"(-1, -1)",diagonal,rich,no,with_diffusion,0.061380913094456535
17320,320000,703.0508652763347,17360.125,0.7189319689639873,0.9446787380793666,0.4413561858148488,0.8539130011772879,1.0405405405405406,9,0.8895260030014429,0.056211127921719714,"(-1, -1)",diagonal,rich,no,with_diffusion,0.06319222567080879
17145,320000,683.7787873376926,17188.625,0.7330510130034611,0.947475401703277,0.4619763608519164,0.8597087698428509,1.0264900662251655,13,0.9436627425285335,0.04745765525468988,"(-1, -1)",diagonal,rich,no,with_diffusion,0.05029090703266258
17688,320000,679.3940110268422,17729.125,0.7507766503298885,0.9515034012692705,0.4826738135408694,0.8563123805975799,1.0064935064935066,12,0.9005375604057396,0.056264029723340776,"(-1, -1)",diagonal,rich,no,with_diffusion,0.062478270976272066
17337,320000,718.0214280248119,17379.25,0.7080795722239346,0.9419009552198361,0.42360988345127487,0.8448934700027081,1.0662251655629138,10,0.8969206735128045,0.05421970462185893,"(-1, -1)",diagonal,rich,no,with_diffusion,0.060450947584368385
17209,320000,726.9919907732892,17252.25,0.6953708024182125,0.9388979591836735,0.4102006594953904,0.8483273162360029,1.0065359477124183,9,0.8717007839985138,0.059216633925588305,"(-1, -1)",diagonal,rich,no,with_diffusion,0.0679322939850531
17337,320000,701.6782822743043,17380.25,0.7175473235160879,0.944944713645909,0.4435982390436551,0.8615663247969988,1.0263157894736843,11,0.9064125861402123,0.04774686829397187,"(-1, -1)",diagonal,rich,no,with_diffusion,0.05267674900377646
17337,320000,717.0508652763347,17376.625,0.7111504203159611,0.9455894756890594,0.42469325585539314,0.8397546595959665,1.0066225165562914,8,0.8665922582799169,0.051296469980581766,"(-1, -1)",diagonal,rich,no,with_diffusion,0.059193316684364554
17484,320000,733.3351365237968,17526.625,0.7061875586392804,0.9356765341803913,0.40954645459433925,0.8212266729267128,1.0460526315789473,9,0.89859065162449,0.05719959396399764,"(-1, -1)",diagonal,rich,no,with_diffusion,0.06365478414514003
17323,320000,682.3229432149766,17364.5,0.7431139867762662,0.9450453760017415,0.4686970252417765,0.8487530069576157,1.0466666666666666,14,0.917889149132534,0.050005681763687096,"(-1, -1)",diagonal,rich,no,with_diffusion,0.05447899870147258
17583,320000,734.2640687119311,17628.5,0.7057047825114261,0.9292402169114498,0.41088536338020165,0.8250391356990795,1.06,16,0.8613378445133661,0.05679626696939745,"(-1, -1)",diagonal,rich,no,with_diffusion,0.06593959307742467
17371,320000,665.8792924010809,17410.375,0.7529696058634948,0.9550528668796884,0.49343161353843895,0.8703062028221333,1.04,7,0.8697763495615456,0.0712492541818543,"(-1, -1)",diagonal,rich,no,with_diffusion,0.08191675275807517
17345,320000,724.7493500861699,17386.25,0.7122099038170056,0.938282098503093,0.4159490291839515,0.8200193449038267,1.0662251655629138,6,0.8984266920472387,0.055539976611387834,"(-1, -1)",diagonal,rich,no,with_diffusion,0.061819152417243166
17360,320000,723.577777210916,17403.75,0.7066900807299251,0.9407114624505929,0.4177171053440611,0.8364197302614726,1.0065359477124183,10,0.9112081221999504,0.056074318093402235,"(-1, -1)",diagonal,rich,no,with_diffusion,0.06153843093279364
17518,320000,731.1341263970202,17565.5,0.705521053582574,0.9319371033311891,0.41292984149715456,0.8295762558841486,1.051948051948052,15,0.8867120535847239,0.06106206169994201,"(-1, -1)",diagonal,rich,no,with_diffusion,0.06886346187929386
17473,320000,714.2640687119313,17516.0,0.7139833531164341,0.9415875447685474,0.43144674201318506,0.846351993829743,1.0794701986754967,11,0.883752909204917,0.05584771108548483,"(-1, -1)",diagonal,rich,no,with_diffusion,0.06319380734568575
17345,320000,710.5067093990506,17387.875,0.714119742487801,0.949547421737409,0.4328326431089424,0.8487463649569745,1.087837837837838,10,0.914223256334278,0.05386247652626464,"(-1, -1)",diagonal,rich,no,with_diffusion,0.05891610845936551
17674,320000,709.1513703397229,17715.25,0.722918924975009,0.9344163935939447,0.44266914998986945,0.8470324888053965,1.0394736842105263,13,0.8998243831551257,0.06074973457466283,"(-1, -1)",diagonal,rich,no,with_diffusion,0.06751287885937389
17762,320000,715.5361466505733,17807.25,0.7253913377137442,0.9393867457962414,0.4370625187571357,0.8306132102817866,1.0130718954248366,17,0.9166393006703005,0.0469885908930101,"(-1, -1)",diagonal,rich,no,with_diffusion,0.051261811334784885
17329,320000,720.4062043356621,17373.25,0.7053987900963893,0.9383401184182988,0.42066467533149704,0.8454085261526552,1.025974025974026,11,0.8928163603649801,0.056157000612487566,"(-1, -1)",diagonal,rich,no,with_diffusion,0.06289871367223915
17467,320000,740.9919907732891,17515.125,0.6886365525316696,0.9417240174202914,0.40086309705742534,0.8453098608475471,1.0533333333333332,19,0.8978900609976367,0.05246035292513332,"(-1, -1)",diagonal,rich,no,with_diffusion,0.05842625417508814
17727,320000,703.293505963454,17770.625,0.7368407230872106,0.9344108213271637,0.45148086856662006,0.8315571684214336,1.0063694267515924,15,0.8744542040145409,0.058613617123315594,"(-1, -1)",diagonal,rich,no,with_diffusion,0.06702880134171205
17420,320000,738.8914857099008,17467.875,0.6918280533900034,0.9357372438730414,0.4020579140263137,0.8400251291001802,1.0128205128205128,16,0.8653820692008279,0.05789240264901324,"(-1, -1)",diagonal,rich,no,with_diffusion,0.06689808433687136
17548,320000,694.1219330882002,17590.25,0.7403197121864279,0.9377215662233122,0.4587861942800515,0.8370891524170507,1.038709677419355,12,0.8595533061748047,0.06362294882443442,"(-1, -1)",diagonal,rich,no,with_diffusion,0.07401861916810033
17648,320000,703.3351365237967,17693.125,0.7247327591533829,0.9468019639058717,0.4494586901133542,0.8557245595345607,1.0392156862745099,14,0.9126932399099688,0.05130486575513271,"(-1, -1)",diagonal,rich,no,with_diffusion,0.056212606286197106
17556,320000,708.2640687119313,17598.0,0.7234820009086753,0.9444407175345149,0.44084179034793625,0.8422233843066889,1.0258064516129033,9,0.9007819936402239,0.056658546244676596,"(-1, -1)",diagonal,rich,no,with_diffusion,0.06289928822367896
17499,320000,702.565583902096,17538.875,0.7196308644534117,0.946154987322652,0.44651685165542493,0.8622203933079522,1.032258064516129,10,0.9127788004857987,0.051349065383517585,"(-1, -1)",diagonal,rich,no,with_diffusion,0.056255760274218254
17289,320000,724.8498551495582,17332.375,0.704699157053545,0.9331588050420281,0.4145451399151759,0.8347651771991019,1.0130718954248366,12,0.9218020253109656,0.05227805934887198,"(-1, -1)",diagonal,rich,no,with_diffusion,0.05671289269649438
17543,320000,716.3645737753195,17583.625,0.7115511190287921,0.9439732112899113,0.43057625478149497,0.8504286132690462,1.0064102564102564,8,0.890844524784541,0.059052894692554224,"(-1, -1)",diagonal,rich,no,with_diffusion,0.06628866547373877
17553,320000,709.9209229614236,17597.5,0.720768140495944,0.9483391602503216,0.43877400081223833,0.8445973658820929,1.026143790849673,13,0.8975044847074671,0.04917565767926876,"(-1, -1)",diagonal,rich,no,with_diffusion,0.054791545354001304
17528,320000,731.3351365237968,17574.625,0.7059337698905946,0.9389659133408131,0.4129172747822489,0.8285813173926757,1.0612244897959184,17,0.8855588975620041,0.06589026028982892,"(-1, -1)",diagonal,rich,no,with_diffusion,0.07440528289109702
17234,320000,706.1219330882002,17274.75,0.7160064781836049,0.9447497949138638,0.43537374148151126,0.8492358682809785,1.0130718954248366,9,0.8959154699772809,0.06294549492858953,"(-1, -1)",diagonal,rich,no,with_diffusion,0.07025829672322294
17228,320000,740.0630585851546,17270.875,0.6921238528726176,0.9328044828517418,0.3962659465176489,0.8272163677071703,1.0198675496688743,7,0.803328643042147,0.07559074129903114,"(-1, -1)",diagonal,rich,no,with_diffusion,0.09409690785177846
17599,320000,761.5189027078706,17646.625,0.6811394635201466,0.9401630282768817,0.3823931859542514,0.8242103405291996,1.0522875816993464,12,0.8679543999908207,0.05961176067460041,"(-1, -1)",diagonal,rich,no,with_diffusion,0.06868075174828407
17356,320000,713.577777210916,17400.5,0.715971829972861,0.9399070923135094,0.42942661631159446,0.8377165364207934,1.0,12,0.8694849009278918,0.060540337586397444,"(-1, -1)",diagonal,rich,no,with_diffusion,0.06962781932359074
17489,320000,715.577777210916,17532.5,0.7198997007322476,0.9343503314125837,0.4302689651900355,0.8302254380460312,1.0193548387096774,10,0.9131706593961159,0.051542083321558844,"(-1, -1)",diagonal,rich,no,with_diffusion,0.0564429910129218
